Beam Num_mean,latitude,longitude,canopy_height_est,year,track
6.0,21.492385708006488,89.04451891869643,7.06720641573412,2018,gt1l
6.0,21.4924710453969,89.04450979798648,8.749514135031731,2018,gt1l
6.0,21.49255228269207,89.04450113574131,16.562731806574703,2018,gt1l
6.0,21.492644855856824,89.04449129193698,15.330653339807078,2018,gt1l
6.0,21.492745937001917,89.0444805410672,10.016860112484224,2018,gt1l
6.0,21.4928394663728,89.04447064717176,4.324711863371661,2018,gt1l
6.0,21.49292679471028,89.04446155310436,2.210733795230439,2018,gt1l
6.0,21.49301150056377,89.04445274751193,10.535401237550694,2018,gt1l
6.0,21.493105176141114,89.04444302138572,7.186968627203697,2018,gt1l
6.0,21.493210993759288,89.044432039435,6.278116227292564,2018,gt1l
6.0,21.49329709737088,89.04442310132183,3.929337501297489,2018,gt1l
